category,code,name,price,status,image
Hand-Carved (手雕系列), HC-1, 手雕咚咕哩, 1380, SOLD OUT, hc1.jpg
Hand-Carved (手雕系列), HC-2, 手雕咚咕哩, 1380, SOLD OUT, hc2.jpg
Hand-Carved (手雕系列), HC-3, 手雕咚咕哩, 1380, Available, hc3.jpg
Hand-Carved (手雕系列), HC-4, 手雕咚咕哩, 1380, SOLD OUT, hc4.jpg
Tableware (食器系列), HT-1, 蓋碗/食器, 1280, Available, ht1.jpg
Tableware (食器系列), HT-2, 蓋碗/食器, 1480, SOLD OUT, ht2.jpg
Tableware (食器系列), HT-3, 蓋碗/食器, 1580, Available, ht3.jpg
Round-Cap (圓帽系列), RC-1, 圓帽咚咕哩, 1480, SOLD OUT, rc1.jpg
Round-Cap (圓帽系列), RC-2, 圓帽咚咕哩, 1480, Available, rc2.jpg
Round-Cap (圓帽系列), RC-3, 圓帽咚咕哩, 1480, SOLD OUT, rc3.jpg
Round-Cap (圓帽系列), RC-4, 圓帽咚咕哩, 1480, SOLD OUT, rc4.jpg
Special (限定系列), KH-1, 小西氏咚咕哩, 1280, SOLD OUT, kh1.jpg
Special (限定系列), KH-2, 小西氏咚咕哩, 1280, Available, kh2.jpg
Special (限定系列), KH-3, 小西氏咚咕哩, 1080, SOLD OUT, kh3.jpg
Special (限定系列), RO-1, 紅櫟咚咕哩, 1280, SOLD OUT, ro1.jpg
Special (限定系列), RO-2, 紅櫟咚咕哩, 1280, Available, ro2.jpg
Special (限定系列), SUN-1, 夏日薄荷, 1280, SOLD OUT, sun1.jpg
Lifestyle (生活選物), FW-1, 一起去摘花吧, 1480, Available, fw1.jpg
Lifestyle (生活選物), SW-1, 雪花象嵌食器, 1280, SOLD OUT, sw1.jpg
Lifestyle (生活選物), SW-2, 雪日造物, 1280, Available, sw2.jpg
